date,gdp,inv,cons,lab,unemp,lab_share,ffr,infl,lab_prod,tfp,lpcom,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad
1975.5,1012.922773,1331.143957,1409.384319,1753.460484,8.4667,466.5512415,1.54,1.765,395.4277573,36.2225,5.310388145,,,,,,-0.1802546,-0.1783914,-0.192966,-0.419263727,,,,,,,,,,,,,,,,
1975.75,1014.006052,1333.053687,1409.896712,1754.177333,8.3,466.6585084,1.353325,1.653,395.523574,35.1825,5.268699153,,,,,,-0.20080652,-0.2030073,-0.2928912,-0.494468336,,,,,,,,,,,,,,,,
1976,1016.022061,1340.67116,1411.146433,1755.81567,7.7333,465.9421601,1.206675,1.034,396.9857857,35.2575,5.263740661,,,,,,-0.79870315,-0.7982562,-0.8150342,-0.712422514,,,,,,,,,,,,,,,,
1976.25,1016.562102,1343.518996,1411.686474,1755.579761,7.5667,465.7458985,1.299175,1.011,397.9419937,36.1025,5.318938167,,,,,,-0.19628434,-0.1973201,-0.1452676,-0.11158241,,,,,,,,,,,,,,,,
1976.5,1016.811848,1344.148249,1412.702507,1755.785157,7.7333,466.2438594,1.320825,1.281,398.1231854,35.9275,5.340416256,,,,,,-0.16406607,-0.1626259,-0.205499,-0.189973122,,,,,,,,,,,,,,,,
1976.75,1017.29802,1345.012493,1413.569632,1756.035924,7.7667,466.2193035,1.218325,1.757,398.4473891,36.8825,5.288747288,,,,,,-0.1420563,-0.1394514,-0.2118412,-0.330644341,,,,,,,,,,,,,,,,
1977,1018.221717,1348.910387,1414.303034,1756.76464,7.5,466.0529204,1.165,1.596,399.0501413,37.4675,5.360515916,,,,,,-0.40944483,-0.4087758,-0.4797344,-0.428815774,,,,,,,,,,,,,,,,
1977.25,1019.92494,1353.501897,1414.856819,1757.974118,7.1333,466.0396735,1.289175,1.393,399.4782021,37.0675,5.374904789,,,,,,-0.24522328,-0.2469198,-0.3274969,-0.269588213,,,,,,,,,,,,,,,,
1977.5,1021.398242,1356.738914,1415.75041,1758.245381,6.9,465.6727945,1.455,1.224,400.467511,38.57,5.308556655,,,,,,-0.13594057,-0.134786,-0.2129834,-0.17920743,,,,,,,,,,,,,,,,
1977.75,1021.122957,1357.160496,1416.054836,1759.320689,6.6667,466.9327384,1.628325,2.149,399.1757973,37.535,5.334003193,,,,,,-0.19597303,-0.1965102,-0.2208928,-0.285830704,,,,,,,,,,,,,,,,
1978,1021.236834,1356.926546,1417.318151,1759.071977,6.3333,468.6399881,1.689175,1.479,399.2404117,38.19,5.400597438,,,,,,-0.05723155,-0.0573382,-0.1508405,-0.248332353,,,,,,,,,,,,,,,,
1978.25,1024.796339,1362.895806,1418.565414,1761.41792,6,466.2967285,1.820825,1.813,401.1832141,38.2475,5.43189539,,,,,,-0.04148069,-0.0431148,-0.1444739,-0.134151028,,,,,,,,,,,,,,,,
1978.5,1025.477803,1363.916829,1419.246878,1761.274518,6.0333,466.0718415,2.025,1.659,401.186834,38.18,5.463812961,,,,,,-0.36178727,-0.3622698,-0.4080551,-0.248805524,,,,,,,,,,,,,,,,
1978.75,1026.517491,1365.968331,1419.503784,1761.796265,5.9,465.79334,2.395825,2.08,401.8147229,37.98,5.526763713,,,,,,0.25913838,0.2603568,0.2322706,0.215316919,,,,,,,,,,,,,,,,
1979,1026.461756,1365.239192,1420.035709,1762.02258,5.8667,467.9312443,2.518325,1.772,400.9186013,38.0225,5.586349922,,,,,,-0.01890217,-0.0172532,-0.0999674,-0.133071205,,,,,,,,,,,,,,,,
1979.25,1026.322281,1364.421748,1420.674448,1761.499053,5.7,467.5460882,2.545,2.39,400.6423681,39.0225,5.624579604,,,,,,0.04108413,0.0391264,-0.0272534,0.026893615,,,,,,,,,,,,,,,,
