date,gdp,unemp,ygap_hp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,lpcom,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad
1987,1040.535315,6.6,-0.275240254,6.22,2.892,1370.857013,1440.171731,1765.152708,468.4609635,411.887456,41.295,5.427738889,,,,,,0.36685299,0.3670341,0.4283997,0.440608759,0.000653576,-0.001668174,,,3.33E-08,-0.001720433,-3.33E-08,,,0,,,0.008149633,,-0.207419559,0.034284787
1987.25,1041.439317,6.2667,-0.117414949,6.65,2.672,1371.761015,1441.259387,1765.59338,467.9173153,412.6053156,42.365,5.495241123,,,,,,0.23837619,0.2387692,0.2585374,0.269893183,0.05583506,0.002052797,,,-0.013333367,-0.0166667,-0.036666633,,,-0.013333333,,,0.010434933,,-0.067463201,0.044313763
1987.5,1042.097096,6,-0.146919954,6.8433,2.892,1372.785767,1441.917167,1765.9344,468.1325347,412.6279181,42.7425,5.537703973,,,,,,-0.20870671,-0.2116506,-0.1605985,0.013639376,0.124072191,0.029264693,,,0.0431111,0.061333333,0.059,,,0.053333333,,,-0.002146867,,0.755782653,-0.067785082
1987.75,1043.485083,5.8333,0.686108707,6.9167,3.296,1375.988685,1442.568501,1766.584991,468.0685738,413.4862511,42.8275,5.54108506,,,,,,-0.26547176,-0.2649809,-0.1958912,-0.143398839,-0.202649855,-0.082344914,,,0.011835133,0.0785591,0.1106774,,,0.003333333,,,0.0075222,,-1.531817223,-0.038399719
1988,1043.84593,5.7,0.357980111,6.6633,3.132,1373.429616,1443.849318,1766.042294,468.7708239,413.829765,44.2675,5.558222413,,,,,,-0.20625113,-0.2071779,-0.0883626,-0.087759782,-0.191618675,-0.03419464,,,-0.0051613,0.000322567,0.0072043,,,-0.01,,,-0.004686033,,-0.713834159,-0.00136361
1988.25,1044.952587,5.4667,0.84755992,7.1567,3.848,1374.536273,1444.772657,1766.887038,468.7956818,414.1021384,44.53,5.599872035,,,,,,0.49598352,0.4957365,0.5805244,0.446854505,0.145885437,0.064217448,,,0.021215067,0.0261183,0.019784933,,,0.026666667,,,-0.004842233,,0.400986965,0.07672394
1988.5,1045.267775,5.4667,0.645187456,7.9833,4.684,1373.734132,1445.636795,1766.829564,468.5957232,414.3959783,44.9675,5.630390987,,,,,,-0.24878885,-0.2482354,-0.2102174,-0.2157582,0.150225277,0.053168796,,,0.054555567,0.072555533,0.0588889,,,0.05,,,0.0078487,,0.704168818,-0.013876609
1988.75,1046.333189,5.3333,1.212348231,8.47,3.196,1375.173377,1446.702208,1767.585029,467.9609532,414.7853733,44.9625,5.620803103,,,,,,0.43647347,0.4349482,0.4447969,0.502637071,0.254345283,0.053468774,0.04013115,,0.007240133,0.0150896,0.0099283,,,0.02,,,0.012322967,,0.851451118,0.111361132
1989,1047.138325,5.2,1.49785155,9.4433,4.372,1376.722012,1447.141714,1768.319106,467.7714078,414.6494157,44.6625,5.654528669,,,,,,0.35826997,0.359073,0.3247353,0.343424727,0.168113085,0.062131111,0.0460412,,0.020215033,0.028709667,0.033870967,,,0.006666667,,,-0.030934967,,0.86515569,0.049996606
1989.25,1047.694989,5.2333,1.562580089,9.7267,4.116,1375.786111,1447.88136,1768.555627,466.5813631,415.0236434,44.205,5.645186655,,,,,,0.15339881,0.1532258,0.1436368,0.144772838,-0.186616277,-0.024054078,-0.0319275,,-0.023010733,-0.022688167,-0.020465933,,,-0.023333333,,,-0.0029011,,-0.83695677,0.011357783
